"method getString of class AbstractCursor has parameters column int : the zero-based index of the target column.
Value is 0 or greater ||| returns String the value of that column as a String. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.078490853,0.005835678,0.029903121,-0.049940988,0.033276122,-0.050564505,0.097143553,-0.025610343,-0.015931839,-0.055270083,0.067081526,0.137756914,0.01298368,-0.007620305,-0.103210986,-0.007893264,-0.026223164,0.022572309,-0.01472358,0.014063871,-0.036574498,0.078490853,0.047341809,0.047481611,-0.020046454,0.029361684,0.044835888,-0.047117095,-0.036574498,0.041730367,0.023594523,0.063317806,-0.000708237,0.038850255,-0.026223164,0.021032214,0.042654958,-0.000705745,0.091607034,0.019921679,0.039233156,0.110378668,-0.057167958,0.02049394,0.04836126,0.015332337,0.083958231
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.135778308,0.016892442,-0.031897482,-0.035758197,0.061428033,0.037858054,0.083616927,0.090835914,0.046515256,0.0015574,0.13116546,0.050477374,0.093610503,0.041379184,-0.00412678,0.075259626,0.03339301,0.047489136,0.082806341,0.050349224,0.059438027,0.135778308,0.073824286,0.178298444,-0.031362444,0.082201473,0.036013953,0.039892063,0.059438027,-0.025960114,-0.017942388,0.093430698,0.048603311,0.104971439,0.03339301,0.186381459,0.109374747,0.031019129,0.038555905,0.130161092,0.062166899,0.051009096,0.09718322,0.074670888,0.072217822,0.062859885,0.112992294
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.817223907,0.812510252,0.801849902,0.811783075,0.854348361,0.88102001,0.824879944,0.878430188,0.837494612,0.822433591,0.814959288,0.887065291,0.896143496,0.818704844,0.864228427,0.88655895,0.869525135,0.857717931,0.905572534,0.87183702,0.822768867,0.817223907,0.829150498,0.867776394,0.859893262,0.892632365,0.860247135,0.859571993,0.822768867,0.811443985,0.821004391,0.819448233,0.861632228,0.820699155,0.869525135,0.864856184,0.876959622,0.872805953,0.813490868,0.874691129,0.84434849,0.875903308,0.873363853,0.869716704,0.867385983,0.859277725,0.882232189
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.5827356,0.537982,0.6123353,0.548571,0.49950162,0.5244408,0.43795717,0.38199872,0.52466303,0.5389632,0.50653183,0.2721496,0.24699773,0.4652949,0.43915036,0.47155404,0.39981484,0.5185018,0.504786,0.394181,0.55375737,0.5827356,0.5026252,0.24834937,0.4632125,0.52857435,0.5384879,0.46746844,0.55375737,0.47159037,0.5630172,0.5719929,0.47449943,0.55821013,0.39981484,0.4714614,0.5101467,0.357057,0.39533314,0.40264922,0.5281804,0.3835972,0.36392716,0.5146999,0.39939734,0.48929405,0.27818632
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
queryArgs Bundle |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.08583872,-0.024186837,0.069694974,-0.027009122,0.103952095,-0.102611624,0.106896639,0.104403526,0.015628852,-0.028227646,0.112003297,0.017675361,0.052142318,0.043646924,-0.062249605,-0.013930174,-0.059427701,0.016952986,0.09237542,0.089616209,0.012629362,0.08583872,0.029124189,0.120142296,-0.040384516,0.016391899,0.112285271,-0.068513207,0.012629362,0.043002859,0.015662011,0.080188006,0.07383018,0.016718661,-0.059427701,0.106686965,0.128656983,-0.011957712,0.002346232,0.113372311,0.005504293,0.096581332,0.023623941,0.067775756,0.128795177,0.080554806,0.082374752
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.054744743,0.015407732,0.027185511,-0.069565356,0.043533035,-0.063230783,0.109198943,-0.009087637,-0.006368708,-0.060602434,0.066268481,0.117377684,0.015099831,-0.022188094,-0.080927625,-0.004372723,-0.035257824,0.021926481,-0.003701285,0.017273735,-0.061549958,0.054744743,0.023291957,0.06923537,-0.025491206,0.055455945,0.057405628,-0.064071894,-0.061549958,0.043621499,0.030028496,0.083902247,0.007312123,0.005613263,-0.035257824,0.034012131,0.036277249,-0.004041489,0.090076298,0.02396382,0.039873723,0.120180123,-0.076351389,-0.017210755,-0.001243411,0.017147537,0.083638832
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.136585623,0.034963593,-0.016950756,-0.036531553,0.072787419,0.051712379,0.077142507,0.087728113,0.072274506,0.014006268,0.133612841,0.054375861,0.087625884,0.048749786,0.021614794,0.093423516,0.056116719,0.07096824,0.076407038,0.053190209,0.063588426,0.136585623,0.08886306,0.187833995,-0.035780407,0.088331982,0.043686442,0.057384245,0.063588426,-0.009565745,0.02088321,0.111873612,0.062289007,0.118514128,0.056116719,0.175890744,0.125640467,0.051063813,0.03823103,0.124114089,0.061096527,0.077578455,0.105335906,0.083752833,0.051763952,0.085435167,0.08943218
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.80159688,0.797485888,0.784682691,0.795941353,0.840519726,0.867816746,0.809628606,0.867610216,0.822106242,0.807642281,0.799271286,0.875924826,0.88520205,0.80430913,0.853188694,0.876367092,0.858560979,0.843042135,0.893764853,0.860733449,0.807233751,0.80159688,0.815403342,0.852452576,0.846956432,0.881247401,0.847400308,0.84463191,0.807233751,0.795998752,0.807208419,0.805341363,0.851792395,0.805482924,0.858560979,0.85268724,0.866897285,0.863792598,0.798136652,0.863314748,0.829637647,0.864297569,0.861263454,0.856467545,0.85212034,0.848778546,0.871998847
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.6627637,0.6469747,0.6724004,0.66151893,0.62293446,0.63588125,0.5967813,0.59628814,0.65652966,0.6574518,0.6522566,0.41817454,0.42003828,0.6448087,0.5609455,0.65854055,0.5607422,0.6320316,0.62687886,0.5875483,0.65270513,0.6627637,0.6495901,0.53939134,0.6388004,0.63012815,0.6354834,0.6174232,0.65270513,0.66084105,0.6593245,0.6624203,0.59320986,0.65901,0.5607422,0.63116676,0.6098086,0.51376534,0.60895246,0.59911454,0.6504153,0.58815163,0.48697183,0.6216906,0.62982315,0.62418,0.5639167
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters uri Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . |||
cancellationSignal CancellationSignal : This value may be null . ||| returns Cursor This value may be null . |||",0.078611806,-0.001610083,0.090472117,-0.003555707,0.111099795,-0.087876186,0.113505855,0.116856262,0.028156323,-0.032993272,0.107687384,0.009050598,0.05557755,0.05854914,-0.039496962,-0.008883517,-0.049386762,0.029940857,0.087623216,0.105798319,0.028002243,0.078611806,0.052760743,0.121712722,-0.02964085,0.019328445,0.135673314,-0.061277784,0.028002243,0.062524341,0.056832187,0.079908878,0.077633053,0.024759056,-0.049386762,0.101919919,0.133068651,-0.0099149,-0.008740868,0.088923499,0.011116313,0.119436398,0.011627669,0.063100412,0.121064186,0.066464238,0.064197831
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",0.042777762,0.014172221,0.023939615,-0.061640479,0.049293589,-0.051004432,0.104824841,0.003718011,-0.001985734,-0.057392191,0.068201222,0.093181208,0.022366501,-0.010231188,-0.091201797,-0.001658004,-0.02953168,0.018813757,-0.007717268,0.024250254,-0.063446656,0.042777762,0.030333644,0.071460992,-0.00734782,0.03881092,0.072025076,-0.057754926,-0.063446656,0.039640173,0.017594691,0.088429622,0.023749515,0.012318709,-0.02953168,0.033518467,0.028511932,0.006350681,0.094064489,0.026745632,0.041918062,0.11083775,-0.06710431,-0.010154618,0.00240694,0.009875253,0.092686109
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",0.1252013,0.04244284,-0.026329566,-0.046688523,0.063457757,0.055879947,0.070122853,0.083123311,0.058534369,0.01354182,0.124570496,0.04734116,0.080398388,0.040348765,0.019634407,0.099738918,0.060730103,0.062109932,0.058197696,0.044191554,0.064564414,0.1252013,0.079141349,0.186884165,-0.048722625,0.069371954,0.038983278,0.045234244,0.064564414,-0.01313447,0.017308598,0.096562512,0.061463859,0.128419995,0.060730103,0.15682891,0.111255795,0.04905916,0.032446824,0.108786471,0.039199285,0.076515019,0.10448876,0.081618093,0.052438959,0.062736191,0.081738532
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",0.799826026,0.795703351,0.783785999,0.795312822,0.837622225,0.865678251,0.807921886,0.865814924,0.820376635,0.805993915,0.797771156,0.875182033,0.883128822,0.802437842,0.85039717,0.8747738,0.855569005,0.840954542,0.889499605,0.857023299,0.805463433,0.799826026,0.813305736,0.851687431,0.844309449,0.877564609,0.8431288,0.84283489,0.805463433,0.793984592,0.804374218,0.804046571,0.848016024,0.803924084,0.855569005,0.848227262,0.863444984,0.86020565,0.796735823,0.860949516,0.82758975,0.861166,0.859409273,0.853399158,0.849130392,0.843906283,0.866497874
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",0.6638467,0.64795226,0.6724441,0.6598062,0.62632954,0.6361819,0.60638064,0.6178233,0.64480495,0.63789666,0.64252174,0.50688744,0.49606776,0.6214942,0.58596796,0.6147962,0.55354154,0.6405583,0.6142397,0.60297346,0.64204717,0.6638467,0.63429797,0.49483955,0.6390052,0.6361408,0.6522076,0.6314263,0.64204717,0.64453644,0.6542264,0.66257787,0.5953953,0.65730643,0.55354154,0.63466126,0.60916215,0.5560463,0.6242511,0.5219399,0.6489671,0.606144,0.59030384,0.62999344,0.62714624,0.63414717,0.46431026
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentProviderClient has parameters url Uri : This value cannot be null . |||
projection String : This value may be null . |||
selection String : This value may be null . |||
selectionArgs String : This value may be null . |||
sortOrder String : This value may be null . ||| returns Cursor This value may be null . |||",0.071693443,0.00345586,0.081975527,-0.004208004,0.107628413,-0.080258057,0.110771351,0.122178398,0.033928707,-0.026383026,0.108977452,0.009526124,0.059424251,0.052097008,-0.029491428,0.012768851,-0.037325688,0.023320828,0.070426784,0.104173087,0.042433538,0.071693443,0.064770319,0.122603357,-0.030297508,0.001854459,0.160791725,-0.05317843,0.042433538,0.058013473,0.050820366,0.076975502,0.086735904,0.032382339,-0.037325688,0.088972375,0.134861365,-0.005927689,-0.007509066,0.067025721,-0.021192141,0.1176406,0.01533949,0.066774413,0.128525972,0.051654674,0.04422386
method query of class ContentResolver has parameters  returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentResolver has parameters  returns,0.095633835,0.028686101,0.125382394,0.016260715,0.069607742,-0.082960472,0.084874898,0.010631703,0.031619433,-0.040852308,0.032645646,0.087251358,0.02512826,-0.010668815,-0.060842842,0.014405679,-0.052335262,0.035798758,0.040669717,0.008824,-0.071583048,0.095633835,0.005007958,0.033509158,-0.020333804,0.042037662,-0.022818327,-0.006748348,-0.071583048,0.005825516,-0.009708727,0.096733034,-0.036146954,-0.021402024,-0.052335262,0.050258875,-0.023198981,-0.016093666,0.07428854,0.053116616,-0.075461462,0.094781816,0.026396643,0.016395804,0.06490954,0.064608239,0.080236427
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentResolver has parameters  returns,0.159439862,0.033184923,0.053155072,0.000767077,0.021171985,0.007389219,0.043618742,0.036825616,0.002676944,0.019367075,0.068189085,0.065295018,0.028529225,0.034215666,-0.019134095,0.058759719,0.069078662,0.071624994,-0.000493267,0.055812389,-0.003279906,0.159439862,0.054034747,0.107908741,-0.041136894,0.0963948,0.028845046,0.059913676,-0.003279906,0.033012066,-0.004929133,0.14618063,0.047417313,0.0940409,0.069078662,0.082649171,0.076482475,0.053242318,0.070653431,0.144282877,-0.040157426,0.079933003,0.03721343,0.065962553,0.023731552,0.124103084,0.082939357
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentResolver has parameters  returns,0.87395364,0.871966481,0.861344039,0.872787535,0.894909203,0.923131287,0.880194247,0.904490471,0.892489135,0.876204669,0.872255445,0.915149629,0.926099062,0.876587987,0.905664861,0.916854441,0.911883414,0.902909994,0.930772185,0.911025524,0.877323151,0.87395364,0.880900919,0.914542973,0.904024601,0.929905117,0.900600255,0.903908193,0.877323151,0.868017912,0.8717314,0.874535203,0.901649952,0.877467155,0.911883414,0.909835994,0.915612638,0.9088462,0.870462716,0.914505661,0.893038273,0.907882154,0.913882792,0.907083094,0.907588363,0.899338484,0.907569408
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentResolver has parameters  returns,0.3490248,0.2686646,0.31350574,0.03208757,0.22974794,0.14219739,0.071945675,0.017243456,0.09499361,0.16605492,0.18648228,0.004996967,0.07202115,0.01003593,0.023735547,0.003410595,0.110851884,0.2754407,0.110080086,0.02486741,0.10382158,0.3490248,0.007885267,0.15010592,0.21710695,0.1489437,0.3472701,0.09806587,0.10382158,0.030780647,0.3477617,0.38485888,0.02567895,0.2667117,0.110851884,0.13045476,0.003440214,0.023367392,0.04548014,0.002264854,0.13829105,0.02651041,0.002339203,0.059915587,0.124129705,0.007396374,0.002308688
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method query of class ContentResolver has parameters  returns,0.107471585,-0.033106804,0.062697589,0.021315472,0.031456288,-0.080554932,0.074048243,0.052635215,0.01026454,0.020059124,0.031882897,0.04597079,-0.007678699,0.034789763,-0.111959398,0.015492548,-0.06713558,0.025228538,-0.003828013,0.091799758,-0.036276102,0.107471585,0.002755102,0.064422697,-0.041703843,-0.01716134,0.070534334,-0.011995411,-0.036276102,0.026281957,-0.016931469,0.084985033,-0.00829659,0.002221107,-0.06713558,0.046526797,0.107422464,-0.02870227,0.015463283,0.127142787,-0.101230457,0.109784588,0.036208715,0.082892239,0.102481112,0.103848428,0.061450426
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Method combinations,Service,Data,ways,Times,Detail,User account,name,Surname,Password,Email,Address,Telephone number,Postal address,Country,Bank information,Date of birth,Personal data,Recipient,Necessary consent,Shipment,Platform,Service,Location,Ip address,Trips,Identification code,Navigation,Dates,Platform,Hardware,Software,Information,Social networks,User,Personal data,Incident,Privacy policy,Personal information,Person,Death certificate,DNI,Photocopy,Valid passport,Relationship,Kinship,Documentation,Deceased person
all-MiniLM-L6-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.03110807,0.112228177,0.04074854,-0.058163039,0.060276996,-0.123725787,0.078326955,0.019973548,-0.042615443,-0.019017125,0.061164469,0.039100848,0.044038579,-0.052939691,0.007288884,-0.04185681,0.020110168,0.039103486,-0.022079654,0.058456004,-0.039204143,0.03110807,-0.012347954,0.018556481,0.00821525,0.074874371,0.058876097,-0.050694577,-0.039204143,0.035594441,0.044163503,0.1234418,0.017549776,-0.069470838,0.020110168,0.03515216,-0.012575628,0.019636285,0.009140959,0.042496003,0.00166288,0.101413347,-0.088251695,-0.049845725,-0.03900703,0.083377935,0.044268504
all-mpnet-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.072265297,0.099047676,0.013495699,-0.00778498,0.043836579,0.02455911,0.028295415,0.056824051,0.051159356,0.032389171,0.094797,0.024823803,0.054607965,0.053870164,0.049523063,0.032785222,0.124570668,0.060471885,0.01406928,0.034020647,-0.016175807,0.072265297,0.068575092,0.128377736,-0.024612743,0.08963608,0.077748634,0.09162803,-0.016175807,-0.010138639,0.033982966,0.150565445,0.091256052,0.109847263,0.124570668,0.085903086,0.118276864,0.097313777,0.041034896,0.134546489,-0.039684646,0.065447241,0.044773575,0.08691363,0.005056919,0.163450345,0.071861871
roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.840323806,0.838368356,0.823370218,0.831493676,0.855936944,0.881358147,0.845346451,0.857001483,0.850345194,0.838083804,0.834861755,0.869509518,0.877566993,0.837920129,0.878999472,0.868813872,0.877827942,0.854691505,0.883792281,0.87102443,0.840332925,0.840323806,0.842502952,0.869251072,0.857894182,0.891738713,0.863734782,0.854857683,0.840332925,0.832145751,0.841251731,0.840107143,0.875465155,0.841510713,0.877827942,0.865190625,0.879247963,0.878641307,0.832435489,0.871650636,0.853413224,0.873432457,0.877667367,0.855289161,0.855065465,0.873975217,0.874298275
stsb-roberta-base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"method query of class ContentResolver has parameters uri Uri : The URI using the content:// scheme for the content to
retrieve.
This value cannot be null . |||
projection String : A list of which columns to return. Passing null will
return all columns which is inefficient. |||
selection String : A filter declaring which rows to return formatted as an
SQL WHERE clause (excluding the WHERE itself). Passing null will
return all rows for the given URI. |||
selectionArgs String : You may include ?s in selection which will be
replaced by the values from selectionArgs in the order that they
appear in the selection. The values will be bound as Strings.
This value may be null . |||
sortOrder String : How to order the rows formatted as an SQL ORDER BY
clause (excluding the ORDER BY itself). Passing null will use the
default sort order which may be unordered. |||
cancellationSignal CancellationSignal : A signal to cancel the operation in progress or null if none.
If the operation is canceled then OperationCanceledException will be thrown
when the query is executed. ||| returns Cursor A Cursor object which is positioned before the first entry. May return null if the underlying content provider returns null or if it crashes. |||",0.50334066,0.4936006,0.49965584,0.48932573,0.4916414,0.48247164,0.4914136,0.48657402,0.48194164,0.48983458,0.4877016,0.45902464,0.47067985,0.48078248,0.47016338,0.4647749,0.47949052,0.49234515,0.4827269,0.46974885,0.49582902,0.50334066,0.48703408,0.4673333,0.49440184,0.4943123,0.50011575,0.48830044,0.49582902,0.48632932,0.50081605,0.49630907,0.46712762,0.4971479,0.47949052,0.48866117,0.48497787,0.47294626,0.48633993,0.46416628,0.4830439,0.47659189,0.4682966,0.4946856,0.48218888,0.49066827,0.46222493
multi-qa-mpnet-base-cos-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
